Name,Ticker,Industry
AbbVie Inc,ABBV,Healthcare
American Electric Powe,AEP,Utilities
"Akamai Technologies, Inc",AKAM,IT
Bank of America Corp,BAC,Financials
Citigroup Inc,C,Financials
ConocoPhillips,COP,Utilities
Chevron Corp,CVX,Oil and Gas
Dominion Energy Inc,D,Utilities
Duke Energy Corp,DUK,Utilities
EOG Resources Inc,EOG,Oil and Gas
"Facebook, Inc.",FB,IT
Alphabetic Inc Class A,GOOGL,IT
Johnson & Johnson,JNJ,Healthcare
JP Morgan Chase & Co,JPM,Financials
Eli Lilly And Co,LLY,Healthcare
"Merck & Co., Inc",MRK,Healthcare
NextEra Energy Inc,NEE,Utilities
Occidental Petroleum Corporation,OXY,Oil and Gas
Pfizer Inc.,PFE,Healthcare
PNC Financial Services Group,PNC,Financials
Southern Co,SO,Oil and Gas
Twitter Inc,TWTR,IT
"Verisign, Inc. ",VRSN,IT
Wells Fargo & Co,WFC,Financials
Exxon Mobil Corporation,XOM,Oil and Gas
